book_id,category_id
${books/1/id},${categories/8/id}
${books/2/id},${categories/6/id}
${books/3/id},${categories/8/id}
${books/4/id},${categories/5/id}
${books/5/id},${categories/2/id}
${books/6/id},${categories/8/id}
${books/7/id},${categories/8/id}
${books/8/id},${categories/1/id}
${books/9/id},${categories/7/id}
${books/10/id},${categories/6/id}
${books/11/id},${categories/1/id}
${books/12/id},${categories/1/id}
${books/13/id},${categories/6/id}
${books/14/id},${categories/3/id}
${books/15/id},${categories/6/id}
${books/16/id},${categories/8/id}
${books/17/id},${categories/8/id}
${books/18/id},${categories/8/id}
${books/19/id},${categories/8/id}
${books/20/id},${categories/8/id}
${books/21/id},${categories/6/id}
${books/22/id},${categories/6/id}
${books/23/id},${categories/7/id}
${books/24/id},${categories/2/id}
${books/25/id},${categories/7/id}
${books/26/id},${categories/5/id}
${books/27/id},${categories/5/id}
${books/28/id},${categories/5/id}
${books/29/id},${categories/5/id}
${books/30/id},${categories/5/id}
${books/31/id},${categories/5/id}
${books/32/id},${categories/5/id}
${books/33/id},${categories/5/id}
${books/34/id},${categories/5/id}
${books/35/id},${categories/5/id}
${books/36/id},${categories/5/id}
${books/37/id},${categories/1/id}
${books/38/id},${categories/1/id}
${books/39/id},${categories/1/id}
${books/40/id},${categories/3/id}
${books/41/id},${categories/3/id}
${books/42/id},${categories/3/id}
${books/43/id},${categories/3/id}
${books/44/id},${categories/3/id}
${books/45/id},${categories/1/id}
${books/46/id},${categories/1/id}
${books/47/id},${categories/4/id}
